folder_name,name,segmentation_map,model,optimizer,criterion,scale,weights_method,tversky_weight,note
2026-04-24-19:58:03,room-appb-cew-noscale,room,,adam-patience-previous-best,cross-entropy,False,inverse_sqrt_frequency,,
2026-04-23-23:09:49,room-appb-ce-noscale,room,,adam-patience-previous-best,cross-entropy,False,,,
2026-04-25-09:14:41,room-appb-flw-noscale,room,,adam-patience-previous-best,focal-loss,False,inverse_sqrt_frequency,,
2026-04-25-15:25:34,room-ap-cew-noscale,room,,adam-patience,cross-entropy,False,inverse_sqrt_frequency,,
2026-04-26-23:29:50,room-ap-ced-noscale,room,,adam-patience,cross-entropy-and-dice,False,,,
2026-04-25-19:12:56,room-ap-flw-noscale,room,,adam-patience,focal-loss,False,inverse_sqrt_frequency,,
2026-04-25-23:04:03,room-ap-fl-noscale,room,,adam-patience,focal-loss,False,,,
2026-04-28-14:07:52,room-ap-cew-scale,room,,adam-patience,cross-entropy,True,inverse_sqrt_frequency,,
2026-04-28-09:44:01,room-ap-ced-scale,room,,adam-patience,cross-entropy-and-dice,True,,,
2026-04-24-05:20:30,icon-appb-ce-noscale,icon,,adam-patience-previous-best,cross-entropy,False,,,
2026-04-26-11:40:00,icon-ap-cew-noscale,icon,,adam-patience,cross-entropy,False,inverse_double_sqrt_frequency,,
2026-04-26-19:23:20,icon-ap-ced-noscale,icon,,adam-patience,cross-entropy-and-dice,False,,,
2026-04-26-15:34:04,icon-ap-flw-noscale,icon,,adam-patience,focal-loss,False,inverse_double_sqrt_frequency,,
2026-04-26-06:55:44,icon-ap-fl-noscale,icon,,adam-patience,focal-loss,False,,,
2026-04-28-21:21:10,icon-ap-ced-scale,icon,,adam-patience,cross-entropy-and-dice,True,,,
2026-04-29-06:54:49,icon-ap-cew-scale,icon,,adam-patience,cross-entropy,True,inverse_double_sqrt_frequency,,
2026-05-01-10:13:24,room-ap-unet34-cew-scale,room,unet-resnet34,adam-patience,cross-entropy,True,inverse_sqrt_frequency,,
2026-05-01-12:17:52,room-ap-unet50-cew-scale,room,unet-resnet50,adam-patience,cross-entropy,True,inverse_sqrt_frequency,,
2026-05-01-15:27:46,room-ap-unet152-cew-scale,room,unet-resnet152,adam-patience,cross-entropy,True,inverse_sqrt_frequency,,
2026-05-02-10:57:53,room-ap-unet18-cew-scale,room,unet-resnet18,adam-patience,cross-entropy,True,inverse_sqrt_frequency,,
2026-05-03-11:00:05,room-ap-celw-v1-scale,room,,adam-patience,cross-entropy-learned-weights,True,,,
2026-05-03-15:40:15,room-ap-celw-v2-scale,room,,adam-patience,cross-entropy-learned-weights,True,,,
2026-05-03-20:25:54,icon-ap-celw-v2-scale,icon,,adam-patience,cross-entropy-learned-weights,True,,,
2026-05-08-10:11:03,icon-ap-ce-scale,icon,,adam-patience,cross-entropy,True,,,
2026-05-08-15:20:04,icon-ap-celw-reg02-œscale,icon,,adam-patience,cross-entropy-learned-weights,True,,,regularization lambda was 0.2 and not 0.5
2026-05-09-17:33:19,room-ap-cetw-tw05-scale,room,,adam-patience,cross-entropy-and-tversky,True,inverse_sqrt_frequency,0.5,
2026-05-10-00:40:20,room-ap-cetw-tw10-scale,room,,adam-patience,cross-entropy-and-tversky,True,inverse_sqrt_frequency,1.0,
2026-05-10-09:15:39,room-ap-segformer-cew-scale,room,segformer,adam-patience,cross-entropy,True,inverse_sqrt_frequency,1.0,
2026-05-10-12:50:24,room-mini-ap-ce-scale,room-mini,,adam-patience,cross-entropy,True,,1.0,
